h	Clients	NPCs	Locations
45		**Dr. Llewellyn**, terraforming specialist: thinks he's the bees knees, near a huge breakthrough.	**Pork-Rind-93**, station: unlicensed multiplex dealing in sleeves, growth vats, bioaugmentation.
46		**Jamie Skewes**, organ mule: weirdly happy about this job. Hires company nightly.	**Sacral Rift**, landform: wide-bottomed rift valley, mineral rich, undiscovered lifeforms.
47		**Eve Reinhardt**, union rep: jokes around, tactical, pushes wedges, throws ragers.	**Bonchevska**, colony: Built in huge colony ship ruin, clinging on, ruthless admin, frozen.
48		**Gianlorenzo**, android waitstaff: boundless snobbery comes factory-default.	**TD-068**, planetoid: fleshy beneath crust. Rare minerals in its flesh. Spiraling organs.
49		**Euphemia Fairchild**, manager at XAVECTOL, diamond-studded, heads up regional office.	**Charybdis**, planet: toothy terrain, deep pits, vast sea, rocky shore, pterosaur-like inhabitants.
50		**Mejia**, raider: backpack dog-drones. Shaved head. Vibechete evangelist. Fit.	**Hall of Elijah**, xenostructure: 10km long barrow. 3m hole dead center. On:
51		**Marozia Eco**, mercenary: a little twitchy. Moves fast, impatient. SMG.	**KP-929**, planet: dead black-sand surface. Magnificent stars, far from its sun.
52		**Ruben**, barkeep: clean-shave, lots of cologne. Runs an upscale joint. Chats fluently.	**Dolor**, colony: bubbled silos, austere culture, yeast-vats and acid rain, infighting.
53		**Joseph Friend**, missionary: on XAVECTOL payroll. Doesn't believe a word he says. Pays well.	**Farshore Havens**, cylinder station: opulent, tax-shelter, gift shop, pageantry.
54		**Bekker**, sanitation worker: one eye, big gloves, knows maintenance systems aboard; hates them.	**Salon Blanc**, facility: full-service spa for total smoothing. Built on a slum.
55		"**Carr**, colonist: considers himself a ""leader of men.\"" Touchy. Unhelpful."	**Eagle Peak**, settlement: rocky, built in rings above the treeline. Nights are long. Screams below.
56		**Alice Vanderberg**, scientist: developing homegrown bioaugmentations. Last seen 6 cycles ago.	**Tikalik Drift**, astroid field: sulfurous, far from help, thick with parasites.
57			**Ilium**, metropolis: glutted on mineral-tech expansion, ever-shifting lattices, shiny debauchery.
58			**Bowline Crater**, impact crater teeming w/ shipping; refueling stop, casinos, cuisine.
59			**The Throat**, long fungal passage, damp, reaches a karst cave: recursive maze.
60			**Granite Rise**, landform: tabula mountain, ridged with condensing pillars.
61			**The Red Brood**, nest: many entrances, disgorges planet-eating horde every 100 yrs. Engineered.
62			**The Well**, habitat: low-power, failing systems, an old cylinder. Very old. Twisted by all that time.
63			**Nightmare Cloak**, nebula: interferes with sensors, nasty reputation; essential route.
64			**Southhand**, derelict: long corridors, desperate pleas, a god on deck; so it said anyway.
65			**MA-733**, planet; logistics waypoint, traced with railways, isolated homesteads. Dry.
66			**Oom**, derelict: set drifting after refrigerant collapse. Home to a variety of parasites.
67			**Parushya Gate**, the creatures flow out, take choice cuts, retreat. Unassailable arch.
68			**Hellmouth**, ship: carrying automated legion. Collision course. Violent bioforms.
69			**Marmora**, mothership: home to a thousand pleasures. Roving stardock. Grandiose.
70			**Kharila**, planet: huge and ice-slick. Towns slipping away. War brews.
71			**HD-221763**, planet: common jump hub. Orbit filled with fresh crews. Quilted with farms.
72			**Chartak Borehole**, ever since the bore was made, people have been disappearing.
73			**Trigrad Gap**, region: overgrown passage between jagged ranges, 100km route, cycads.
74			**Corbona**, planet: pole packed tight with factories. Remaining land used for atmos. scrubbers.
75			**Pavarti**, planet: rumors of transformative liquids in the sea. Sandy. Caustic. Red.
76			**XO-12d**, planet: volcanic. Constant shattering. A great beast, abandoned there.
77			**Arkovna**, colony: research-focused, eyes turned to fertile soil. Terraformed conifer woods.
78			**Zhaotong Vault**, storehouse of corporate assets the size of a small city. High security.
79			**Sarnegor**, derelict: early jumpship. Burned to a skeleton. Organism feeding on reactor.
80			**Selephum**, vessel: predatory lab. Abducts, experiments, discards: gleefully.
81			**The Thomlinsen**, hauler: String lights. 200yr operating history. Home to ten souls.
